graph,strategy,ranks,trial,time_s,reachable,max_depth
medium_chain,1D,1,1,0.002216,1000,999
medium_chain,1D,1,2,0.002243,1000,999
medium_chain,1D,1,3,0.002296,1000,999
medium_chain,1D,1,4,0.002054,1000,999
medium_chain,1D,1,5,0.002185,1000,999
medium_chain,1D,1,6,0.002196,1000,999
medium_chain,1D,1,7,0.002090,1000,999
medium_chain,1D,1,8,0.002052,1000,999
medium_chain,1D,1,9,0.002193,1000,999
medium_chain,1D,1,10,0.002233,1000,999
medium_chain,1D,2,1,0.002543,1000,999
medium_chain,1D,2,2,0.002989,1000,999
medium_chain,1D,2,3,0.002409,1000,999
medium_chain,1D,2,4,0.003042,1000,999
medium_chain,1D,2,5,0.003035,1000,999
medium_chain,1D,2,6,0.002357,1000,999
medium_chain,1D,2,7,0.002550,1000,999
medium_chain,1D,2,8,0.002528,1000,999
medium_chain,1D,2,9,0.002876,1000,999
medium_chain,1D,2,10,0.002524,1000,999
medium_chain,1D,4,1,0.002995,1000,999
medium_chain,1D,4,2,0.002899,1000,999
medium_chain,1D,4,3,0.002818,1000,999
medium_chain,1D,4,4,0.002843,1000,999
medium_chain,1D,4,5,0.002940,1000,999
medium_chain,1D,4,6,0.002887,1000,999
medium_chain,1D,4,7,0.002798,1000,999
medium_chain,1D,4,8,0.002980,1000,999
medium_chain,1D,4,9,0.002844,1000,999
medium_chain,1D,4,10,0.002880,1000,999
medium_chain,1D,8,1,0.003780,1000,999
medium_chain,1D,8,2,0.003881,1000,999
medium_chain,1D,8,3,0.003822,1000,999
medium_chain,1D,8,4,0.003750,1000,999
medium_chain,1D,8,5,0.003780,1000,999
medium_chain,1D,8,6,0.003804,1000,999
medium_chain,1D,8,7,0.003783,1000,999
medium_chain,1D,8,8,0.003796,1000,999
medium_chain,1D,8,9,0.003806,1000,999
medium_chain,1D,8,10,0.003765,1000,999
medium_chain,1D,16,1,0.003654,1000,999
medium_chain,1D,16,2,0.003662,1000,999
medium_chain,1D,16,3,0.004345,1000,999
medium_chain,1D,16,4,0.003984,1000,999
medium_chain,1D,16,5,0.003055,1000,999
medium_chain,1D,16,6,0.003978,1000,999
medium_chain,1D,16,7,0.004426,1000,999
medium_chain,1D,16,8,0.004270,1000,999
medium_chain,1D,16,9,0.003583,1000,999
medium_chain,1D,16,10,0.003598,1000,999
medium_chain,2D,1,1,0.004400,1000,999
medium_chain,2D,1,2,0.004482,1000,999
medium_chain,2D,1,3,0.004798,1000,999
medium_chain,2D,1,4,0.004379,1000,999
medium_chain,2D,1,5,0.004441,1000,999
medium_chain,2D,1,6,0.004443,1000,999
medium_chain,2D,1,7,0.004344,1000,999
medium_chain,2D,1,8,0.004440,1000,999
medium_chain,2D,1,9,0.004523,1000,999
medium_chain,2D,1,10,0.004431,1000,999
medium_chain,2D,4,1,0.006895,1000,999
medium_chain,2D,4,2,0.006564,1000,999
medium_chain,2D,4,3,0.007351,1000,999
medium_chain,2D,4,4,0.007343,1000,999
medium_chain,2D,4,5,0.006976,1000,999
medium_chain,2D,4,6,0.006730,1000,999
medium_chain,2D,4,7,0.007128,1000,999
medium_chain,2D,4,8,0.006854,1000,999
medium_chain,2D,4,9,0.006826,1000,999
medium_chain,2D,4,10,0.007250,1000,999
medium_chain,2D,9,1,0.007985,1000,999
medium_chain,2D,9,2,0.007752,1000,999
medium_chain,2D,9,3,0.007470,1000,999
medium_chain,2D,9,4,0.007310,1000,999
medium_chain,2D,9,5,0.006973,1000,999
medium_chain,2D,9,6,0.007549,1000,999
medium_chain,2D,9,7,0.006978,1000,999
medium_chain,2D,9,8,0.007625,1000,999
medium_chain,2D,9,9,0.007549,1000,999
medium_chain,2D,9,10,0.007150,1000,999
medium_chain,2D,16,1,0.007754,1000,999
medium_chain,2D,16,2,0.007830,1000,999
medium_chain,2D,16,3,0.008078,1000,999
medium_chain,2D,16,4,0.008821,1000,999
medium_chain,2D,16,5,0.009582,1000,999
medium_chain,2D,16,6,0.008883,1000,999
medium_chain,2D,16,7,0.008730,1000,999
medium_chain,2D,16,8,0.007479,1000,999
medium_chain,2D,16,9,0.007553,1000,999
medium_chain,2D,16,10,0.009876,1000,999
medium_dense,1D,1,1,0.000123,1000,2
medium_dense,1D,1,2,0.000111,1000,2
medium_dense,1D,1,3,0.000115,1000,2
medium_dense,1D,1,4,0.000123,1000,2
medium_dense,1D,1,5,0.000122,1000,2
medium_dense,1D,1,6,0.000123,1000,2
medium_dense,1D,1,7,0.000124,1000,2
medium_dense,1D,1,8,0.000123,1000,2
medium_dense,1D,1,9,0.000123,1000,2
medium_dense,1D,1,10,0.000123,1000,2
medium_dense,1D,2,1,0.000070,1000,2
medium_dense,1D,2,2,0.000073,1000,2
medium_dense,1D,2,3,0.000073,1000,2
medium_dense,1D,2,4,0.000070,1000,2
medium_dense,1D,2,5,0.000073,1000,2
medium_dense,1D,2,6,0.000075,1000,2
medium_dense,1D,2,7,0.000072,1000,2
medium_dense,1D,2,8,0.000073,1000,2
medium_dense,1D,2,9,0.000072,1000,2
medium_dense,1D,2,10,0.000072,1000,2
medium_dense,1D,4,1,0.000049,1000,2
medium_dense,1D,4,2,0.000047,1000,2
medium_dense,1D,4,3,0.000051,1000,2
medium_dense,1D,4,4,0.000062,1000,2
medium_dense,1D,4,5,0.000062,1000,2
medium_dense,1D,4,6,0.000046,1000,2
medium_dense,1D,4,7,0.000082,1000,2
medium_dense,1D,4,8,0.000047,1000,2
medium_dense,1D,4,9,0.000047,1000,2
medium_dense,1D,4,10,0.000072,1000,2
medium_dense,1D,8,1,0.000082,1000,2
medium_dense,1D,8,2,0.000065,1000,2
medium_dense,1D,8,3,0.000035,1000,2
medium_dense,1D,8,4,0.000064,1000,2
medium_dense,1D,8,5,0.000039,1000,2
medium_dense,1D,8,6,0.000047,1000,2
medium_dense,1D,8,7,0.000087,1000,2
medium_dense,1D,8,8,0.000057,1000,2
medium_dense,1D,8,9,0.000037,1000,2
medium_dense,1D,8,10,0.000036,1000,2
medium_dense,1D,16,1,0.000060,1000,2
medium_dense,1D,16,2,0.000030,1000,2
medium_dense,1D,16,3,0.000057,1000,2
medium_dense,1D,16,4,0.000031,1000,2
medium_dense,1D,16,5,0.000033,1000,2
medium_dense,1D,16,6,0.000032,1000,2
medium_dense,1D,16,7,0.000048,1000,2
medium_dense,1D,16,8,0.000031,1000,2
medium_dense,1D,16,9,0.000034,1000,2
medium_dense,1D,16,10,0.000035,1000,2
medium_dense,2D,1,1,0.000130,1000,2
medium_dense,2D,1,2,0.000132,1000,2
medium_dense,2D,1,3,0.000131,1000,2
medium_dense,2D,1,4,0.000116,1000,2
medium_dense,2D,1,5,0.000117,1000,2
medium_dense,2D,1,6,0.000117,1000,2
medium_dense,2D,1,7,0.000130,1000,2
medium_dense,2D,1,8,0.000116,1000,2
medium_dense,2D,1,9,0.000129,1000,2
medium_dense,2D,1,10,0.000119,1000,2
medium_dense,2D,4,1,0.001093,1000,2
medium_dense,2D,4,2,0.001157,1000,2
medium_dense,2D,4,3,0.001120,1000,2
medium_dense,2D,4,4,0.001200,1000,2
medium_dense,2D,4,5,0.001144,1000,2
medium_dense,2D,4,6,0.001188,1000,2
medium_dense,2D,4,7,0.001085,1000,2
medium_dense,2D,4,8,0.001190,1000,2
medium_dense,2D,4,9,0.001140,1000,2
medium_dense,2D,4,10,0.001174,1000,2
medium_dense,2D,9,1,0.001168,1000,2
medium_dense,2D,9,2,0.001168,1000,2
medium_dense,2D,9,3,0.001184,1000,2
medium_dense,2D,9,4,0.001155,1000,2
medium_dense,2D,9,5,0.001178,1000,2
medium_dense,2D,9,6,0.001171,1000,2
medium_dense,2D,9,7,0.001154,1000,2
medium_dense,2D,9,8,0.001152,1000,2
medium_dense,2D,9,9,0.001178,1000,2
medium_dense,2D,9,10,0.001172,1000,2
medium_dense,2D,16,1,0.001146,1000,2
medium_dense,2D,16,2,0.001415,1000,2
medium_dense,2D,16,3,0.001157,1000,2
medium_dense,2D,16,4,0.001136,1000,2
medium_dense,2D,16,5,0.001184,1000,2
medium_dense,2D,16,6,0.001170,1000,2
medium_dense,2D,16,7,0.001150,1000,2
medium_dense,2D,16,8,0.001172,1000,2
medium_dense,2D,16,9,0.001177,1000,2
medium_dense,2D,16,10,0.001388,1000,2
medium_sparse,1D,1,1,0.000083,998,6
medium_sparse,1D,1,2,0.000075,998,6
medium_sparse,1D,1,3,0.000078,998,6
medium_sparse,1D,1,4,0.000076,998,6
medium_sparse,1D,1,5,0.000088,998,6
medium_sparse,1D,1,6,0.000076,998,6
medium_sparse,1D,1,7,0.000076,998,6
medium_sparse,1D,1,8,0.000087,998,6
medium_sparse,1D,1,9,0.000073,998,6
medium_sparse,1D,1,10,0.000084,998,6
medium_sparse,1D,2,1,0.000052,998,6
medium_sparse,1D,2,2,0.000061,998,6
medium_sparse,1D,2,3,0.000060,998,6
medium_sparse,1D,2,4,0.000061,998,6
medium_sparse,1D,2,5,0.000061,998,6
medium_sparse,1D,2,6,0.000052,998,6
medium_sparse,1D,2,7,0.000061,998,6
medium_sparse,1D,2,8,0.000059,998,6
medium_sparse,1D,2,9,0.000060,998,6
medium_sparse,1D,2,10,0.000057,998,6
medium_sparse,1D,4,1,0.000046,998,6
medium_sparse,1D,4,2,0.000049,998,6
medium_sparse,1D,4,3,0.000044,998,6
medium_sparse,1D,4,4,0.000045,998,6
medium_sparse,1D,4,5,0.000046,998,6
medium_sparse,1D,4,6,0.000048,998,6
medium_sparse,1D,4,7,0.000047,998,6
medium_sparse,1D,4,8,0.000045,998,6
medium_sparse,1D,4,9,0.000044,998,6
medium_sparse,1D,4,10,0.000045,998,6
medium_sparse,1D,8,1,0.000044,998,6
medium_sparse,1D,8,2,0.000049,998,6
medium_sparse,1D,8,3,0.000046,998,6
medium_sparse,1D,8,4,0.000050,998,6
medium_sparse,1D,8,5,0.000048,998,6
medium_sparse,1D,8,6,0.000044,998,6
medium_sparse,1D,8,7,0.000045,998,6
medium_sparse,1D,8,8,0.000045,998,6
medium_sparse,1D,8,9,0.000043,998,6
medium_sparse,1D,8,10,0.000047,998,6
medium_sparse,1D,16,1,0.000072,998,6
medium_sparse,1D,16,2,0.000070,998,6
medium_sparse,1D,16,3,0.000066,998,6
medium_sparse,1D,16,4,0.000044,998,6
medium_sparse,1D,16,5,0.000062,998,6
medium_sparse,1D,16,6,0.000066,998,6
medium_sparse,1D,16,7,0.000044,998,6
medium_sparse,1D,16,8,0.000069,998,6
medium_sparse,1D,16,9,0.000072,998,6
medium_sparse,1D,16,10,0.000051,998,6
medium_sparse,2D,1,1,0.000104,998,6
medium_sparse,2D,1,2,0.000092,998,6
medium_sparse,2D,1,3,0.000104,998,6
medium_sparse,2D,1,4,0.000106,998,6
medium_sparse,2D,1,5,0.000102,998,6
medium_sparse,2D,1,6,0.000103,998,6
medium_sparse,2D,1,7,0.000105,998,6
medium_sparse,2D,1,8,0.000104,998,6
medium_sparse,2D,1,9,0.000105,998,6
medium_sparse,2D,1,10,0.000103,998,6
medium_sparse,2D,4,1,0.001224,998,6
medium_sparse,2D,4,2,0.001224,998,6
medium_sparse,2D,4,3,0.001232,998,6
medium_sparse,2D,4,4,0.001247,998,6
medium_sparse,2D,4,5,0.001182,998,6
medium_sparse,2D,4,6,0.001148,998,6
medium_sparse,2D,4,7,0.001171,998,6
medium_sparse,2D,4,8,0.001251,998,6
medium_sparse,2D,4,9,0.001250,998,6
medium_sparse,2D,4,10,0.001228,998,6
medium_sparse,2D,9,1,0.001244,998,6
medium_sparse,2D,9,2,0.001491,998,6
medium_sparse,2D,9,3,0.001216,998,6
medium_sparse,2D,9,4,0.001274,998,6
medium_sparse,2D,9,5,0.001235,998,6
medium_sparse,2D,9,6,0.001326,998,6
medium_sparse,2D,9,7,0.001198,998,6
medium_sparse,2D,9,8,0.001221,998,6
medium_sparse,2D,9,9,0.001231,998,6
medium_sparse,2D,9,10,0.001271,998,6
medium_sparse,2D,16,1,0.001282,998,6
medium_sparse,2D,16,2,0.001486,998,6
medium_sparse,2D,16,3,0.001250,998,6
medium_sparse,2D,16,4,0.001211,998,6
medium_sparse,2D,16,5,0.001428,998,6
medium_sparse,2D,16,6,0.001280,998,6
medium_sparse,2D,16,7,0.001305,998,6
medium_sparse,2D,16,8,0.001223,998,6
medium_sparse,2D,16,9,0.001249,998,6
medium_sparse,2D,16,10,0.001285,998,6
